show;release_year;production_country;genre;men;women;divers
desperate_housewifes_1x08;2004;USA;fictional_tv;18;21;0
friends_5x19;2000;USA;fictional_tv;3;5;0
dsds_2604;2024;GER;reality_tv;12;18;0
tbbt_7x04;2013;USA;fictional_tv;5;5;0
iZombie_2x03;2025;USA;fictional_tv;18;14;0
the_circle;2024;USA;reality_tv;5;6;0
gntm_19x11;2024;GER;reality_tv;11;10;1
tagesschau_2804;2024;GER;news;103;59;0
will_trent_1x08;2023;USA;fictional_tv;11;10;0
elite_2x01;2019;ESP;fictional_tv;7;5;0
modern_family_1x07;2010;USA;fictional_tv;9;8;0
brooklyn_nine_nine_5x03;2017;USA;fictional_tv;11;3;0
greys_anatomy_11x09;2014;USA;fictional_tv;13;26;0
tuerkisch_fuer_anfaeger_1x05;2006;GER;fictional_tv;6;5;0
gilmore_girls_5x12;2005;USA;fictional_tv;19;13;0
fleabag_1x01;2016;GB;fictional_tv;7;6;0
tatort_wuestensohn;2014;GER;fictional_tv;105;55;0
mindhunter_2x08;2019;USA;fictional_tv;17;9;0
harry_potter_1;2001;GB;fictional_film;30;12;0
lets_dance_17x08;2024;GER;reality_tv;10;9;0
iZombie_1x05;2015;USA;fictional_tv;11;3;0
greys_anatomy_12x06;2015;USA;fictional_tv;12;8;0
zdf_magazin_royale_2604;2024;GER;satire;32;18;2